time,date,total_population,contact_rate,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,still_infected,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
1,3/27/2020,1152400,10,9,,1,,1,,9,,,,0,,
2,3/28/2020,1152400,10,9,,1,,1,,8,,,,0,,
3,3/29/2020,1152400,10,9,,2,1,1,,7,,,,0,,
4,3/30/2020,1152400,10,11,2,2,,1,,9,,,,0,,
5,3/31/2020,1152400,10,13,2,3,1,1,,10,,,,0,,
6,4/1/2020,1152400,10,15,2,3,,1,,12,,,,0,,
7,4/2/2020,1152400,10,19,4,3,,1,,16,,,,0,,
8,4/3/2020,1152400,10,25,6,3,,1,,22,,,,0,,
9,4/4/2020,1152400,10,31,6,4,1,1,,27,,,,0,,
10,4/5/2020,1152400,10,38,7,4,,1,,34,,,,0,,
11,4/6/2020,1152400,10,39,1,5,1,2,,32,,,,0,,
12,4/7/2020,1152400,10,40,1,5,,2,,33,,,,0,,
13,4/8/2020,1152400,10,44,4,6,1,2,,36,,,,0,,
14,4/9/2020,1152400,10,64,20,6,,3,1,55,,,,0,,
15,4/10/2020,1152400,10,85,21,6,,3,,76,,,,0,,
16,4/11/2020,1152400,10,103,18,6,,3,,94,,,,0,,
17,4/12/2020,1152400,10,119,16,7,1,3,,109,,,,0,,
18,4/13/2020,1152400,10,125,6,7,,7,4,111,,,,0,,
19,4/14/2020,1152400,10,134,9,7,,8,1,119,,,,0,,
20,4/15/2020,1152400,10,173,39,7,,8,,158,,,,0,,
21,4/16/2020,1152400,10,204,31,7,,8,,189,,,,0,,
22,4/17/2020,1152400,10,240,36,8,1,8,,224,,,,0,,
23,4/18/2020,1152400,10,283,43,9,1,16,8,258,,,,0,,
24,4/19/2020,1152400,10,308,25,9,,21,5,278,,,,0,,
25,4/20/2020,1152400,10,312,4,11,2,21,,280,,,,0,,
26,4/21/2020,1152400,10,341,29,11,,21,,309,,,,0,,
27,4/22/2020,1152400,10,353,12,11,,22,1,320,,,,0,,
28,4/23/2020,1152400,10,396,43,11,,29,7,356,,,,0,,
29,4/24/2020,1152400,10,437,41,11,,39,10,387,,,,0,,
30,4/25/2020,1152400,10,483,46,11,,41,2,431,,,,0,,
31,4/26/2020,1152400,10,508,25,11,,46,5,451,,,,0,,
32,4/27/2020,1152400,10,522,14,11,,46,,465,,,,0,,
33,4/28/2020,1152400,10,553,31,11,,46,,496,,,,0,,
34,4/29/2020,1152400,10,588,35,11,,49,3,528,,,,0,,
35,4/30/2020,1152400,10,637,49,11,,59,10,567,,,,0,,
36,5/1/2020,1152400,10,658,21,11,,62,3,585,,,,0,,
37,5/2/2020,1152400,10,689,31,11,,62,,616,,,,0,,
38,5/3/2020,1152400,10,726,37,12,1,78,16,636,,,,0,,
39,5/4/2020,1152400,10,750,24,12,,84,6,654,,,,0,,
40,5/5/2020,1152400,10,779,29,12,,91,7,676,,,,0,,
41,5/6/2020,1152400,10,787,8,12,,100,9,675,,,,0,,
42,5/7/2020,1152400,10,817,30,12,,120,20,685,,,,0,,
43,5/8/2020,1152400,10,855,38,14,2,133,13,708,,,,0,,
44,5/9/2020,1152400,10,877,22,16,2,142,9,719,,,,0,,
45,5/10/2020,1152400,10,926,49,16,,142,,768,,,,0,,
46,5/11/2020,1152400,10,978,52,21,5,149,7,808,,,,0,,
47,5/12/2020,1152400,10,1028,50,22,1,149,,857,,,,0,,
48,5/13/2020,1152400,10,1045,17,23,1,199,50,823,,,,0,,
49,5/14/2020,1152400,10,1062,17,24,1,254,55,784,,,,0,,
50,5/15/2020,1152400,10,1074,12,24,,293,39,757,,,,0,,
51,5/16/2020,1152400,10,1104,30,24,,347,54,733,,,,0,,
52,5/17/2020,1152400,10,1126,22,25,1,347,,754,,,,0,,
53,5/18/2020,1152400,10,1167,41,28,3,353,6,786,,,,0,,
54,5/19/2020,1152400,10,1188,21,29,1,370,17,789,,,,0,,
55,5/20/2020,1152400,10,1217,29,29,,412,42,776,,,,0,,
56,5/21/2020,1152400,10,1287,70,29,,449,37,809,,,,0,,
57,5/22/2020,1152400,10,1323,36,29,,453,4,841,,,,0,,
58,5/23/2020,1152400,10,1368,45,30,1,543,90,795,,,,0,,
59,5/24/2020,1152400,10,1417,49,31,1,561,18,825,,,,0,,
60,5/25/2020,1152400,10,1434,17,31,,587,26,816,,,,0,,
61,5/26/2020,1152400,10,1475,41,34,3,649,62,792,,,,0,,
62,5/27/2020,1152400,10,1514,39,34,,701,52,779,,,,0,,
63,5/28/2020,1152400,10,1588,74,35,1,725,24,828,,,,0,,
64,5/29/2020,1152400,10,1628,40,35,,754,29,839,,,,0,,
65,5/30/2020,1152400,10,1680,52,37,2,869,115,774,,,,0,,
66,5/31/2020,1152400,10,1713,33,37,,871,2,805,,,,0,,
67,6/1/2020,1152400,10,1770,57,38,1,887,16,845,,,,0,,
68,6/2/2020,1152400,10,1823,53,39,1,960,73,824,,,,0,,
69,6/3/2020,1152400,10,1873,50,40,1,993,33,840,,,,0,,
70,6/4/2020,1152400,10,1905,32,40,,1019,26,846,,,,0,,
71,6/5/2020,1152400,10,1962,57,40,,1039,20,883,,,,0,,
72,6/6/2020,1152400,10,2014,52,40,,1082,43,892,,,,0,,
73,6/7/2020,1152400,10,2046,32,40,,1088,6,918,,,,0,,
74,6/8/2020,1152400,10,2071,25,40,,1089,1,942,,,,0,,
75,6/9/2020,1152400,10,2094,23,44,4,1093,4,957,,,,0,,
76,6/10/2020,1152400,10,2122,28,45,1,1115,22,962,,,,0,,
77,6/11/2020,1152400,10,2175,53,45,,1164,49,966,,,,0,,
78,6/12/2020,1152400,10,2231,56,46,1,1194,30,991,,,,0,,
79,6/13/2020,1152400,10,2297,66,46,,1274,80,977,,,,0,,
80,6/14/2020,1152400,10,2341,44,46,,1280,6,1015,,,,0,,
81,6/15/2020,1152400,10,2369,28,46,,1316,36,1007,,,,0,,
82,6/16/2020,1152400,10,2473,104,47,1,1379,63,1047,,,,0,,
83,6/17/2020,1152400,10,2499,26,50,3,1379,,1070,,,,0,,
84,6/18/2020,1152400,10,2572,73,51,1,1379,,1142,,,,0,,
85,6/19/2020,1152400,10,2693,121,53,2,1467,88,1173,,,,0,,
86,6/20/2020,1152400,10,2776,83,55,2,1500,33,1221,,,,0,,
87,6/21/2020,1152400,10,2872,96,57,2,1505,5,1310,,,,0,,
88,6/22/2020,1152400,10,2963,91,57,,1526,21,1380,,,,0,,
89,6/23/2020,1152400,10,3038,75,58,1,1538,12,1442,,,,0,,
90,6/24/2020,1152400,10,3164,126,61,3,1582,44,1521,,,,0,,
91,6/25/2020,1152400,10,3248,84,64,3,1623,41,1561,,,,0,,
92,6/26/2020,1152400,10,3364,116,66,2,1682,59,1616,,,,0,,
93,6/27/2020,1152400,10,3475,111,66,,1705,23,1704,,,,0,,
94,6/28/2020,1152400,10,3568,93,66,,1738,33,1764,,,,0,,
95,6/29/2020,1152400,10,3638,70,68,2,1752,14,1818,,,,0,,
96,6/30/2020,1152400,10,3712,74,70,2,1769,17,1873,,,,0,,
97,7/1/2020,1152400,10,3784,72,70,,1815,46,1899,,,,0,,
98,7/2/2020,1152400,10,3877,93,70,,1875,60,1932,,,,0,,
99,7/3/2020,1152400,10,3950,73,74,4,1929,54,1947,,,,0,,
100,7/4/2020,1152400,10,4041,91,75,1,2016,87,1950,,,,0,,
101,7/5/2020,1152400,10,4108,67,77,2,2050,34,1981,,,,0,,
102,7/6/2020,1152400,10,4190,82,77,,2079,29,2034,,,,0,,
103,7/7/2020,1152400,10,4228,38,78,1,2195,116,1955,,,,0,,
104,7/8/2020,1152400,10,4304,76,78,,2272,77,1954,,,,0,,
105,7/9/2020,1152400,10,4380,76,79,1,2363,91,1938,,,,0,,
106,7/10/2020,1152400,10,4454,74,79,,2501,138,1874,,,,0,,
107,7/11/2020,1152400,10,4520,66,80,1,2699,198,1741,,,,0,,
108,7/12/2020,1152400,10,4598,78,80,,2738,39,1780,,,,0,,
109,7/13/2020,1152400,10,4697,99,80,,2773,35,1844,,,,0,,
110,7/14/2020,1152400,10,4740,43,82,2,2905,132,1753,,,,0,,
111,7/15/2020,1152400,10,4782,42,83,1,3101,196,1598,,,,0,,
112,7/16/2020,1152400,10,4852,70,83,,3247,146,1522,,,,0,,
113,7/17/2020,1152400,10,4940,88,84,1,3395,148,1461,,,,0,,
114,7/18/2020,1152400,10,5015,75,87,3,3576,181,1352,,,,0,,
115,7/19/2020,1152400,10,5082,67,87,,3607,31,1388,,,,0,,
116,7/20/2020,1152400,10,5144,62,89,2,3722,115,1333,,,,0,,
117,7/21/2020,1152400,10,5183,39,89,,3853,131,1241,,,,0,,
118,7/22/2020,1152400,10,5232,49,91,2,4027,174,1114,,,,0,,
119,7/23/2020,1152400,10,5303,71,91,,4095,68,1117,,,,0,,
120,7/24/2020,1152400,10,5399,96,91,,4206,111,1102,,,,0,,
121,7/25/2020,1152400,10,5542,143,91,,4335,129,1116,,,,0,,
122,7/26/2020,1152400,10,5623,81,92,1,4356,21,1175,,,,0,,
123,7/27/2020,1152400,10,5701,78,92,,4386,30,1223,,,,0,,
124,7/28/2020,1152400,10,5784,83,92,,4464,78,1228,,,,0,,
125,7/29/2020,1152400,10,5837,53,92,,4489,25,1256,,,,0,,
126,7/30/2020,1152400,10,5942,105,93,1,4640,151,1209,,,,0,,
127,7/31/2020,1152400,10,6024,82,93,,4688,48,1243,,,,0,,
128,8/1/2020,1152400,10,6111,87,93,,4752,64,1266,,,,0,,
129,8/2/2020,1152400,10,6195,84,94,1,4804,52,1297,,,,0,,
130,8/3/2020,1152400,10,6270,75,97,3,4832,28,1341,,,,0,,
131,8/4/2020,1152400,10,6355,85,99,2,4900,68,1356,,,,0,,
132,8/5/2020,1152400,10,6442,87,100,1,5044,144,1298,,,,0,,
133,8/6/2020,1152400,10,6538,96,101,1,5095,51,1342,,,,0,,
134,8/7/2020,1152400,10,6638,100,103,2,5139,44,1396,,,,0,,
135,8/8/2020,1152400,10,6747,109,103,,5218,79,1426,,,,0,,
136,8/9/2020,1152400,10,6840,93,103,,5235,17,1502,,,,0,,
137,8/10/2020,1152400,10,6923,83,104,1,5286,51,1533,,,,0,,
138,8/11/2020,1152400,10,7018,95,105,1,5352,66,1561,,,,0,,
139,8/12/2020,1152400,10,7114,96,106,1,5407,55,1601,,,,0,,
140,8/13/2020,1152400,10,7206,92,106,,5454,47,1646,,,,0,,
141,8/14/2020,1152400,10,7326,120,106,,5512,58,1708,,,,0,,
142,8/15/2020,1152400,10,7433,107,107,1,5557,45,1769,,,,0,,
143,8/16/2020,1152400,10,7538,105,108,1,5601,44,1829,,,,0,,
144,8/17/2020,1152400,10,7716,178,110,2,5618,17,1988,,,,0,,
145,8/18/2020,1152400,10,7828,112,110,,5667,49,2051,,,,0,,
146,8/19/2020,1152400,10,7953,125,115,5,5783,116,2055,,,,0,,
147,8/20/2020,1152400,10,8091,138,115,,5876,93,2100,,,,0,,
148,8/21/2020,1152400,10,8238,147,115,,5942,66,2181,,,,0,,
149,8/22/2020,1152400,10,8383,145,116,1,6002,60,2265,,,,0,,
150,8/23/2020,1152400,10,8460,77,119,3,6029,27,2312,,,,0,,
151,8/24/2020,1152400,10,8559,99,119,,6051,22,2389,,,,0,,
152,8/25/2020,1152400,10,8644,85,119,,6072,21,2453,,,,0,,
153,8/26/2020,1152400,10,8737,93,121,2,6116,44,2500,,,,0,,
154,8/27/2020,1152400,10,8818,81,124,3,6211,95,2483,,,,0,,
155,8/28/2020,1152400,10,8921,103,126,2,6265,54,2530,,,,0,,
156,8/29/2020,1152400,10,9019,98,127,1,6463,198,2429,,,,0,,
157,8/30/2020,1152400,10,9098,79,129,2,6523,60,2446,,,,0,,
158,8/31/2020,1152400,10,9182,84,130,1,6536,13,2516,,,,0,,
159,9/1/2020,1152400,10,9269,87,131,1,6617,81,2521,,,,0,,
160,9/2/2020,1152400,10,9396,127,132,1,6773,156,2491,,,,0,,
161,9/3/2020,1152400,10,9476,80,134,2,6873,100,2469,,,,0,,
162,9/4/2020,1152400,10,9535,59,135,1,6922,49,2478,,,,0,,
163,9/5/2020,1152400,10,9634,99,135,,7007,85,2492,,,,0,,
164,9/6/2020,1152400,10,9660,26,135,,7007,,2518,,,,0,,
165,9/7/2020,1152400,10,9762,102,136,1,7057,50,2569,,,,0,,
166,9/8/2020,1152400,10,9860,98,138,2,7168,111,2554,,,,0,,
167,9/9/2020,1152400,10,9943,83,138,,7259,91,2546,,,,0,,
168,9/10/2020,1152400,10,10073,130,141,3,7330,71,2602,,,,0,,
169,9/11/2020,1152400,10,10217,144,142,1,7453,123,2622,,,,0,,
170,9/12/2020,1152400,10,10369,152,142,,7620,167,2607,,,,0,,
171,9/13/2020,1152400,10,10469,100,142,,7689,69,2638,,,,0,,
172,9/14/2020,1152400,10,10555,86,143,1,7760,71,2652,,,,0,,
173,9/15/2020,1152400,10,10635,80,144,1,7838,78,2653,,,,0,,
174,9/16/2020,1152400,10,10707,72,147,3,8016,178,2544,,,,0,,
175,9/17/2020,1152400,10,10797,90,148,1,8199,183,2450,,,,0,,
176,9/18/2020,1152400,10,10917,120,149,1,8388,189,2380,,,,0,,
177,9/19/2020,1152400,10,11015,98,151,2,8576,188,2288,,,,0,,
178,9/20/2020,1152400,10,11124,109,151,,8684,108,2289,,,,0,,
179,9/21/2020,1152400,10,11242,118,151,,8719,35,2372,,,,0,,
180,9/22/2020,1152400,10,11353,111,151,,8859,140,2343,,,,0,,
181,9/23/2020,1152400,10,11459,106,155,4,8990,131,2314,,,,0,,
182,9/24/2020,1152400,10,11621,162,156,1,9157,167,2308,,,,0,,
183,9/25/2020,1152400,10,11774,153,157,1,9365,208,2252,,,,0,,
184,9/26/2020,1152400,10,11928,154,161,4,9517,152,2250,,,,0,,
185,9/27/2020,1152400,10,12032,104,161,,9603,86,2268,,,,0,,
186,9/28/2020,1152400,10,12145,113,161,,9686,83,2298,,,,0,,
187,9/29/2020,1152400,10,12302,157,165,4,9840,154,2297,,,,0,,
188,9/30/2020,1152400,10,12411,109,166,1,9989,149,2256,,,,0,,
189,10/1/2020,1152400,10,12554,143,167,1,10064,75,2323,,,,0,,
190,10/2/2020,1152400,10,12770,216,170,3,10146,82,2454,,,,0,,
191,10/3/2020,1152400,10,12956,186,170,,10223,77,2563,,,,0,,
192,10/4/2020,1152400,10,13107,151,173,3,10296,73,2638,,,,0,,
193,10/5/2020,1152400,10,13248,141,175,2,10357,61,2716,,,,0,,
194,10/6/2020,1152400,10,13374,126,177,2,10617,260,2580,,,,0,,
195,10/7/2020,1152400,10,13532,158,177,,10844,227,2511,,,,0,,
196,10/8/2020,1152400,10,13798,266,180,3,11007,163,2611,,,,0,,
197,10/9/2020,1152400,10,13981,183,183,3,11115,108,2683,,,,0,,
198,10/10/2020,1152400,10,14259,278,184,1,11294,179,2781,,,,0,,
199,10/11/2020,1152400,10,14493,234,184,,11348,54,2961,,,,0,,
200,10/12/2020,1152400,10,14696,203,186,2,11388,40,3122,,,,0,,
201,10/13/2020,1152400,10,14868,172,191,5,11607,219,3070,,,,0,,
202,10/14/2020,1152400,10,15026,158,192,1,11813,206,3021,,,,0,,
203,10/15/2020,1152400,10,15186,160,193,1,11830,17,3163,,,,0,,
204,10/16/2020,1152400,10,15398,212,196,3,11937,107,3265,,,,0,,
205,10/17/2020,1152400,10,15646,248,196,,12136,199,3314,,,,0,,
206,10/18/2020,1152400,10,15882,236,197,1,12173,37,3512,,,,0,,
207,10/19/2020,1152400,10,16034,152,201,4,12242,69,3591,,,,0,,
208,10/20/2020,1152400,10,16184,150,203,2,12469,227,3512,,,,0,,
209,10/21/2020,1152400,10,16428,244,204,1,12705,236,3519,,,,0,,
210,10/22/2020,1152400,10,16691,263,206,2,12881,176,3604,,,,0,,
211,10/23/2020,1152400,10,16985,294,207,1,13117,236,3661,,,,0,,
212,10/24/2020,1152400,10,17257,272,211,4,13230,113,3816,,,,0,,
213,10/25/2020,1152400,10,17469,212,218,7,13303,73,3948,,,,0,,
214,10/26/2020,1152400,10,17730,261,222,4,13417,114,4091,,,,0,,
215,10/27/2020,1152400,10,18003,273,228,6,13722,305,4053,,,,0,,
216,10/28/2020,1152400,10,18299,296,232,4,13959,237,4108,,,,0,,
217,10/29/2020,1152400,10,18518,219,238,6,14117,158,4163,,,,0,,
218,10/30/2020,1152400,10,18857,339,238,,14117,,4502,,,,0,,
219,10/31/2020,1152400,10,19158,301,245,7,14401,284,4512,,,,0,,
220,11/1/2020,1152400,10,19373,215,246,1,14425,24,4702,,,,0,,
221,11/2/2020,1152400,10,19573,200,252,6,14503,78,4818,,,,0,,
222,11/3/2020,1152400,10,19998,425,264,12,14681,178,5053,,,,0,,
223,11/4/2020,1152400,10,20300,302,268,4,15163,482,4869,,,,0,,
224,11/5/2020,1152400,10,20671,371,270,2,15718,555,4683,,,,0,,
225,11/6/2020,1152400,10,21026,355,276,6,15952,234,4798,,,,0,,
226,11/7/2020,1152400,10,21403,377,282,6,16247,295,4874,,,,0,,
227,11/8/2020,1152400,10,21770,367,283,1,16295,48,5192,,,,0,,
228,11/9/2020,1152400,10,22140,370,284,1,16299,4,5557,,,,0,,
229,11/10/2020,1152400,10,22622,482,287,3,16757,458,5578,,,,0,,
230,11/11/2020,1152400,10,23035,413,293,6,17267,510,5475,,,,0,,
231,11/12/2020,1152400,10,23585,550,301,8,17623,356,5661,,,,0,,
232,11/13/2020,1152400,10,24045,460,307,6,17958,335,5780,,,,0,,
233,11/14/2020,1152400,10,24579,534,315,8,18193,235,6071,,,,0,,
234,11/15/2020,1152400,10,24969,390,319,4,18276,83,6374,,,,0,,
235,11/16/2020,1152400,10,25210,241,323,4,18300,24,6587,,,,0,,
236,11/17/2020,1152400,10,25596,386,327,4,18768,468,6501,,,,0,,
237,11/18/2020,1152400,10,25904,308,329,2,19336,568,6239,,,,0,,
238,11/19/2020,1152400,10,26442,538,334,5,19626,290,6482,,,,0,,
239,11/20/2020,1152400,10,27054,612,341,7,20067,441,6646,,,,0,,
240,11/21/2020,1152400,10,27539,485,348,7,20472,405,6719,,,,0,,
241,11/22/2020,1152400,10,27912,373,353,5,20518,46,7041,,,,0,,
242,11/23/2020,1152400,10,28194,282,356,3,20572,54,7266,,,,0,,
243,11/24/2020,1152400,10,28461,267,360,4,21215,643,6886,,,,0,,
244,11/25/2020,1152400,10,28860,399,362,2,21589,374,6909,,,,0,,
245,11/26/2020,1152400,10,29320,460,369,7,22008,419,6943,,,,0,,
246,11/27/2020,1152400,10,29875,555,374,5,22576,568,6925,,,,0,,
247,11/28/2020,1152400,10,30430,555,378,4,23073,497,6979,,,,0,,
248,11/29/2020,1152400,10,30807,377,380,2,23133,60,7294,,,,0,,
249,11/30/2020,1152400,10,30956,149,381,1,23151,18,7424,,,,0,,
250,12/1/2020,1152400,10,31283,327,390,9,24015,864,6878,,,,0,,
251,12/2/2020,1152400,10,31798,515,394,4,24572,557,6832,,,,0,,
252,12/3/2020,1152400,10,32223,425,397,3,25315,743,6511,,,,0,,
253,12/4/2020,1152400,10,32702,479,404,7,25885,570,6413,,,,0,,
254,12/5/2020,1152400,10,33192,490,410,6,26441,556,6341,,,,0,,
255,12/6/2020,1152400,10,33508,316,413,3,26526,85,6569,,,,0,,
256,12/7/2020,1152400,10,33714,206,416,3,26534,8,6764,,,,0,,
257,12/8/2020,1152400,10,34088,374,424,8,27361,827,6303,,,,0,,
258,12/9/2020,1152400,10,34578,490,429,5,28111,750,6038,,,,0,,
259,12/10/2020,1152400,10,35034,456,439,10,28855,744,5740,,,,0,,
260,12/11/2020,1152400,10,35452,418,441,2,29375,520,5636,,,,0,,
261,12/12/2020,1152400,10,35900,448,445,4,29880,505,5575,,,,0,,
262,12/13/2020,1152400,10,36117,217,446,1,29891,11,5780,,,,0,,
263,12/14/2020,1152400,10,36262,145,448,2,29984,93,5830,,,,0,,
264,12/15/2020,1152400,10,36599,337,454,6,30779,795,5366,,,,0,,
265,12/16/2020,1152400,10,36974,375,460,6,31190,411,5324,,,,0,,
266,12/17/2020,1152400,10,37417,443,466,6,31643,453,5308,,,,0,,
267,12/18/2020,1152400,10,37840,423,469,3,32185,542,5186,,,,0,,
268,12/19/2020,1152400,10,38315,475,474,5,32961,776,4880,,,,0,,
269,12/20/2020,1152400,10,38536,221,474,,33000,39,5062,,,,0,,
270,12/21/2020,1152400,10,38656,120,475,1,33053,53,5128,,,,0,,
271,12/22/2020,1152400,10,38920,264,484,9,33569,516,4867,,,,0,,
272,12/23/2020,1152400,10,39251,331,484,,34106,537,4661,,,,0,,
273,12/24/2020,1152400,10,39634,383,487,3,34667,561,4480,,,,0,,
274,12/25/2020,1152400,10,39979,345,492,5,35174,507,4313,,,,0,,
275,12/26/2020,1152400,10,40195,216,494,2,35200,26,4501,,,,0,,
276,12/27/2020,1152400,10,40295,100,496,2,35276,76,4523,,,,0,,
277,12/28/2020,1152400,10,40332,37,499,3,35465,189,4368,,,,0,,
278,12/29/2020,1152400,10,40459,127,510,11,36076,611,3873,,,,0,,
279,12/30/2020,1152400,10,40672,213,515,5,36581,505,3576,,,,0,,
280,12/31/2020,1152400,10,40990,318,516,1,36712,131,3762,,,,0,,
281,1/2/2021,1152400,10,41503,228,519,2,37107,78,3877,,,,0,,
282,1/3/2021,1152400,10,41578,75,521,2,37181,74,3876,,,,0,,
283,1/4/2021,1152400,10,41632,54,522,1,37223,42,3887,,,,0,,
284,1/5/2021,1152400,10,41769,137,525,3,37722,499,3522,,,,0,,
285,1/6/2021,1152400,10,42012,243,527,2,38105,383,3380,,,,0,,
286,1/7/2021,1152400,10,42338,326,528,1,38387,282,3423,,,,0,,
287,1/8/2021,1152400,10,42484,146,529,1,38418,31,3537,,,,0,,
288,1/9/2021,1152400,10,42564,80,529,,38436,18,3599,,,,0,,
289,1/10/2021,1152400,10,42723,159,532,3,38556,120,3635,,,,0,,
290,1/11/2021,1152400,10,42811,88,533,1,38804,248,3474,,,,0,,
291,1/12/2021,1152400,10,42943,132,538,5,39423,619,2982,,,,0,,
292,1/13/2021,1152400,10,43178,235,540,2,39795,372,2843,,,,0,,
293,1/14/2021,1152400,10,43458,280,540,,40175,380,2743,,,,0,,
294,1/15/2021,1152400,10,43700,242,541,1,40419,244,2740,,,,0,,
295,1/16/2021,1152400,10,43943,243,541,,40636,217,2766,,,,0,,
296,1/17/2021,1152400,10,44088,145,541,,40777,141,2770,,,,0,,
297,1/18/2021,1152400,10,44149,61,542,1,40790,13,2817,,,,0,,
298,1/19/2021,1152400,10,44207,58,546,4,41085,295,2576,,,,0,,
299,1/20/2021,1152400,10,44318,111,547,1,41254,169,2517,,,,0,,
300,1/21/2021,1152400,10,44569,251,548,1,41408,154,2613,,,,0,,
301,1/22/2021,1152400,10,44729,160,551,3,41553,145,2625,,,,0,,
302,1/23/2021,1152400,10,44936,207,554,3,41657,104,2725,,,,0,,
303,1/24/2021,1152400,10,45032,96,556,2,41814,157,2662,,,,0,,
304,1/25/2021,1152400,10,45081,49,559,3,41988,174,2534,,,,0,,
305,1/26/2021,1152400,10,45162,81,559,,42124,136,2479,,,,0,,
306,1/27/2021,1152400,10,45326,164,564,5,42318,194,2444,,,,0,,
307,1/28/2021,1152400,10,45498,172,565,1,42513,195,2420,,,,0,,
308,1/29/2021,1152400,10,45707,209,566,1,42651,138,2490,,,,0,,
309,1/30/2021,1152400,10,45823,116,569,3,42838,187,2416,,,,0,,
310,1/31/2021,1152400,10,45901,78,570,1,42915,77,2416,,,,0,,
311,2/1/2021,1152400,10,45928,27,574,4,43022,107,2332,,,,0,,
312,2/2/2021,1152400,10,45982,54,579,5,43315,293,2088,,,,0,,
313,2/3/2021,1152400,10,46083,101,580,1,43510,195,1993,,,,0,,
314,2/4/2021,1152400,10,46256,173,582,2,43791,281,1883,,,,0,,
315,2/5/2021,1152400,10,46419,163,582,,43880,89,1957,,,,0,,
316,2/6/2021,1152400,10,46530,111,583,1,44040,160,1907,,,,0,,
317,2/7/2021,1152400,10,46603,73,584,1,44092,52,1927,,,,0,,
318,2/8/2021,1152400,10,46648,45,585,1,44130,38,1933,,,,0,,
319,2/9/2021,1152400,10,46734,86,590,5,44260,130,1884,,,,0,,
320,2/10/2021,1152400,10,46837,103,590,,44541,281,1706,,,,0,,
321,2/11/2021,1152400,10,46976,139,591,1,44769,228,1616,,,,0,,
322,2/12/2021,1152400,10,47106,130,591,,44954,185,1561,,,,0,,
323,2/13/2021,1152400,10,47220,114,593,2,45122,168,1505,,,,0,,
324,2/14/2021,1152400,10,47253,33,595,2,45184,62,1474,,,,0,,
325,2/15/2021,1152400,10,47268,15,596,1,45222,38,1450,,,,0,,
326,2/16/2021,1152400,10,47356,88,597,1,45412,190,1347,,,,0,,
327,2/17/2021,1152400,10,47495,139,598,1,45498,86,1399,,,,0,,
328,2/18/2021,1152400,10,47662,167,603,5,45621,123,1438,,,,0,,
