date,total_population,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,stil_infected
2020-03-27,11524000,9,,,,,,9
2020-03-28,11524000,9,,1,,,,8
2020-03-29,11524000,9,,2,1,,,7
2020-03-30,11524000,11,2,2,,,,9
2020-03-31,11524000,13,2,3,1,,,10
2020-04-01,11520000,15,2,3,,,,12
2020-04-02,11520000,19,4,3,,,,16
2020-04-03,11520000,25,6,3,,,,22
2020-04-04,11520000,31,6,4,1,,,27
2020-04-05,11520000,38,7,4,,,,34
2020-04-06,11520000,39,1,5,1,2,,32
2020-04-07,11520000,40,1,5,,2,,33
2020-04-08,11520000,44,4,6,1,2,,36
2020-04-09,11520000,64,20,6,,3,1,55
2020-04-10,11520000,85,21,6,,3,,76
2020-04-11,11520000,103,18,6,,3,,94
2020-04-12,11520000,119,16,7,1,3,,109
2020-04-13,11520000,125,6,7,,7,4,111
2020-04-14,11520000,134,9,7,,8,1,119
2020-04-15,11520000,173,39,7,,8,,158
2020-04-16,11520000,204,31,7,,8,,189
2020-04-17,11520000,240,36,8,1,8,,224
2020-04-18,11520000,283,43,9,1,16,8,258
2020-04-19,11520000,308,25,9,,21,5,278
2020-04-20,11520000,312,4,11,2,21,,280
2020-04-21,11520000,341,29,11,,21,,309
2020-04-22,11520000,353,12,11,,22,1,320
2020-04-23,11520000,396,43,11,,29,7,356
2020-04-24,11520000,437,41,11,,39,10,387
2020-04-25,11520000,483,46,11,,41,2,431
2020-04-26,11520000,508,25,11,,46,5,451
2020-04-27,11520000,522,14,11,,46,,465
2020-04-28,11520000,553,31,11,,46,,496
2020-04-29,11520000,588,35,11,,49,3,528
2020-04-30,11520000,637,49,11,,59,10,567
2020-05-01,11516000,658,21,11,,62,3,585
2020-05-02,11516000,689,31,11,,62,,616
2020-05-03,11516000,726,37,12,1,78,16,636
2020-05-04,11516000,750,24,12,,84,6,654
2020-05-05,11516000,779,29,12,,91,7,676
2020-05-06,11516000,787,8,12,,100,9,675
2020-05-07,11516000,817,30,12,,120,20,685
2020-05-08,11516000,855,38,14,2,133,13,708
2020-05-09,11516000,877,22,16,2,142,9,719
2020-05-10,11516000,926,49,16,,142,,768
2020-05-11,11516000,978,52,21,5,149,7,808
2020-05-12,11516000,1028,50,22,1,149,,857
2020-05-13,11516000,1045,17,23,1,199,50,823
2020-05-14,11516000,1062,17,24,1,254,55,784
2020-05-15,11516000,1074,12,24,,293,39,757
2020-05-16,11516000,1104,30,24,,347,54,733
2020-05-17,11516000,1126,22,25,1,347,,754
2020-05-18,11516000,1167,41,28,3,353,6,786
2020-05-19,11516000,1188,21,29,1,370,17,789
2020-05-20,11516000,1217,29,29,,412,42,776
2020-05-21,11516000,1287,70,29,,449,37,809
2020-05-22,11516000,1323,36,29,,453,4,841
2020-05-23,11516000,1368,45,30,1,543,90,795
2020-05-24,11516000,1417,49,31,1,561,18,825
2020-05-25,11516000,1434,17,31,,587,26,816
2020-05-26,11516000,1475,41,34,3,649,62,792
2020-05-27,11516000,1514,39,34,,701,52,779
2020-05-28,11516000,1588,74,35,1,725,24,828
2020-05-29,11516000,1628,40,35,,754,29,839
2020-05-30,11516000,1680,52,37,2,869,115,774
2020-05-31,11516000,1713,33,37,,871,2,805
2020-06-01,11513000,1770,57,38,1,887,16,845
2020-06-02,11513000,1823,53,39,1,960,73,824
2020-06-03,11513000,1873,50,40,1,993,33,840
2020-06-04,11513000,1905,32,40,,1019,26,846
2020-06-05,11513000,1962,57,40,,1039,20,883
2020-06-06,11513000,2014,52,40,,1082,43,892
2020-06-07,11513000,2046,32,40,,1088,6,918
2020-06-08,11513000,2071,25,40,,1089,1,942
2020-06-09,11513000,2094,23,44,4,1093,4,957
2020-06-10,11513000,2122,28,45,1,1115,22,962
2020-06-11,11513000,2175,53,45,,1164,49,966
2020-06-12,11513000,2231,56,46,1,1194,30,991
2020-06-13,11513000,2297,66,46,,1274,80,977
2020-06-14,11513000,2341,44,46,,1280,6,1015
2020-06-15,11513000,2369,28,46,,1316,36,1007
2020-06-16,11513000,2473,104,47,1,1379,63,1047
2020-06-17,11513000,2499,26,50,3,1379,,1070
2020-06-18,11513000,2572,73,51,1,1379,,1142
2020-06-19,11513000,2693,121,53,2,1467,88,1173
2020-06-20,11513000,2776,83,55,2,1500,33,1221
2020-06-21,11513000,2872,96,57,2,1505,5,1310
2020-06-22,11513000,2963,91,57,,1526,21,1380
2020-06-23,11513000,3038,75,58,1,1538,12,1442
2020-06-24,11513000,3164,126,61,3,1582,44,1521
2020-06-25,11513000,3248,84,64,3,1623,41,1561
2020-06-26,11513000,3364,116,66,2,1682,59,1616
2020-06-27,11513000,3475,111,66,,1705,23,1704
2020-06-28,11513000,3568,93,66,,1738,33,1764
2020-06-29,11513000,3638,70,68,2,1752,14,1818
2020-06-30,11513000,3712,74,70,2,1769,17,1873
2020-07-01,11510000,3784,72,70,,1815,46,1899
2020-07-02,11510000,3877,93,70,,1875,60,1932
2020-07-03,11510000,3950,73,74,4,1929,54,1947
2020-07-04,11510000,4041,91,75,1,2016,87,1950
2020-07-05,11510000,4108,67,77,2,2050,34,1981
2020-07-06,11510000,4190,82,77,,2079,29,2034
2020-07-07,11510000,4228,38,78,1,2195,116,1955
2020-07-08,11510000,4304,76,78,,2272,77,1954
2020-07-09,11510000,4380,76,79,1,2363,91,1938
2020-07-10,11510000,4454,74,79,,2501,138,1874
2020-07-11,11510000,4520,66,80,1,2699,198,1741
2020-07-12,11510000,4598,78,80,,2738,39,1780
2020-07-13,11510000,4697,99,80,,2773,35,1844
2020-07-14,11510000,4740,43,82,2,2905,132,1753
2020-07-15,11510000,4782,42,83,1,3101,196,1598
2020-07-16,11510000,4852,70,83,,3247,146,1522
2020-07-17,11510000,4940,88,84,1,3395,148,1461
2020-07-18,11510000,5015,75,87,3,3576,181,1352
2020-07-19,11510000,5082,67,87,,3607,31,1388
2020-07-20,11510000,5144,62,89,2,3722,115,1333
2020-07-21,11510000,5183,39,89,,3853,131,1241
2020-07-22,11510000,5232,49,91,2,4027,174,1114
2020-07-23,11510000,5303,71,91,,4095,68,1117
2020-07-24,11510000,5399,96,91,,4206,111,1102
2020-07-25,11510000,5542,143,91,,4335,129,1116
2020-07-26,11510000,5623,81,92,1,4356,21,1175
2020-07-27,11510000,5701,78,92,,4386,30,1223
2020-07-28,11510000,5784,83,92,,4464,78,1228
2020-07-29,11510000,5837,53,92,,4489,25,1256
2020-07-30,11510000,5942,105,93,1,4640,151,1209
2020-07-31,11510000,6024,82,93,,4688,48,1243
2020-08-01,11510000,6111,87,93,,4752,64,1266
2020-08-02,11510000,6195,84,94,1,4804,52,1297
2020-08-03,11510000,6270,75,97,3,4832,28,1341
2020-08-04,11510000,6355,85,99,2,4900,68,1356
2020-08-05,11510000,6442,87,100,1,5044,144,1298
2020-08-06,11510000,6538,96,101,1,5095,51,1342
2020-08-07,11510000,6638,100,103,2,5139,44,1396
2020-08-08,11510000,6747,109,103,,5218,79,1426
2020-08-09,11510000,6840,93,103,,5235,17,1502
2020-08-10,11510000,6923,83,104,1,5286,51,1533
2020-08-11,11510000,7018,95,105,1,5352,66,1561
2020-08-12,11510000,7114,96,106,1,5407,55,1601
2020-08-13,11510000,7206,92,106,,5454,47,1646
2020-08-14,11510000,7326,120,106,,5512,58,1708
2020-08-15,11510000,7433,107,107,1,5557,45,1769
2020-08-16,11510000,7538,105,108,1,5601,44,1829
2020-08-17,11510000,7716,178,110,2,5618,17,1988
2020-08-18,11510000,7828,112,110,,5667,49,2051
2020-08-19,11510000,7953,125,115,5,5783,116,2055
2020-08-20,11510000,8091,138,115,,5876,93,2100
2020-08-21,11510000,8238,147,115,,5942,66,2181
2020-08-22,11510000,8383,145,116,1,6002,60,2265
2020-08-23,11510000,8460,77,119,3,6029,27,2312
2020-08-24,11510000,8559,99,119,,6051,22,2389
2020-08-25,11510000,8644,85,119,,6072,21,2453
2020-08-26,11510000,8737,93,121,2,6116,44,2500
2020-08-27,11510000,8818,81,124,3,6211,95,2483
2020-08-28,11510000,8921,103,126,2,6265,54,2530
2020-08-29,11510000,9019,98,127,1,6463,198,2429
2020-08-30,11510000,9098,79,129,2,6523,60,2446
2020-08-31,11510000,9182,84,130,1,6536,13,2516
2020-09-01,11508000,9269,87,131,1,6617,81,2521
2020-09-02,11508000,9396,127,132,1,6773,156,2491
2020-09-03,11508000,9476,80,134,2,6873,100,2469
2020-09-04,11508000,9535,59,135,1,6922,49,2478
2020-09-05,11508000,9634,99,135,,7007,85,2492
2020-09-06,11508000,9660,26,135,,7007,,2518
2020-09-07,11508000,9762,102,136,1,7057,50,2569
2020-09-08,11508000,9860,98,138,2,7168,111,2554
2020-09-09,11508000,9943,83,138,,7259,91,2546
2020-09-10,11508000,10073,130,141,3,7330,71,2602
2020-09-11,11508000,10217,144,142,1,7453,123,2622
2020-09-12,11508000,10369,152,142,,7620,167,2607
2020-09-13,11508000,10469,100,142,,7689,69,2638
2020-09-14,11508000,10555,86,143,1,7760,71,2652
2020-09-15,11508000,10635,80,144,1,7838,78,2653
2020-09-16,11508000,10707,72,147,3,8016,178,2544
2020-09-17,11508000,10797,90,148,1,8199,183,2450
2020-09-18,11508000,10917,120,149,1,8388,189,2380
2020-09-19,11508000,11015,98,151,2,8576,188,2288
2020-09-20,11508000,11124,109,151,,8684,108,2289
2020-09-21,11508000,11242,118,151,,8719,35,2372
2020-09-22,11508000,11353,111,151,,8859,140,2343
2020-09-23,11508000,11459,106,155,4,8990,131,2314
2020-09-24,11508000,11621,162,156,1,9157,167,2308
2020-09-25,11508000,11774,153,157,1,9365,208,2252
2020-09-26,11508000,11928,154,161,4,9517,152,2250
2020-09-27,11508000,12032,104,161,,9603,86,2268
2020-09-28,11508000,12145,113,161,,9686,83,2298
2020-09-29,11508000,12302,157,165,4,9840,154,2297
2020-09-30,11508000,12411,109,166,1,9989,149,2256
2020-10-01,11506000,12554,143,167,1,10064,75,2323
2020-10-02,11506000,12770,216,170,3,10146,82,2454
2020-10-03,11506000,12956,186,170,,10223,77,2563
2020-10-04,11506000,13107,151,173,3,10296,73,2638
2020-10-05,11506000,13248,141,175,2,10357,61,2716
2020-10-06,11506000,13374,126,177,2,10617,260,2580
2020-10-07,11506000,13532,158,177,,10844,227,2511
2020-10-08,11506000,13798,266,180,3,11007,163,2611
2020-10-09,11506000,13981,183,183,3,11115,108,2683
2020-10-10,11506000,14259,278,184,1,11294,179,2781
2020-10-11,11506000,14493,234,184,,11348,54,2961
2020-10-12,11506000,14696,203,186,2,11388,40,3122
2020-10-13,11506000,14868,172,191,5,11607,219,3070
2020-10-14,11506000,15026,158,192,1,11813,206,3021
2020-10-15,11506000,15186,160,193,1,11830,17,3163
2020-10-16,11506000,15398,212,196,3,11937,107,3265
2020-10-17,11506000,15646,248,196,,12136,199,3314
2020-10-18,11506000,15882,236,197,1,12173,37,3512
2020-10-19,11506000,16034,152,201,4,12242,69,3591
2020-10-20,11506000,16184,150,203,2,12469,227,3512
2020-10-21,11506000,16428,244,204,1,12705,236,3519
2020-10-22,11506000,16691,263,206,2,12881,176,3604
2020-10-23,11506000,16985,294,207,1,13117,236,3661
2020-10-24,11506000,17257,272,211,4,13230,113,3816
2020-10-25,11506000,17469,212,218,7,13303,73,3948
2020-10-26,11506000,17730,261,222,4,13417,114,4091
2020-10-27,11506000,18003,273,228,6,13722,305,4053
2020-10-28,11506000,18299,296,232,4,13959,237,4108
2020-10-29,11506000,18518,219,238,6,14117,158,4163
2020-10-30,11506000,18857,339,238,,14117,,4502
2020-10-31,11506000,19158,301,245,7,14401,284,4512
2020-11-01,11500000,19373,215,246,1,14425,24,4702
2020-11-02,11500000,19573,200,252,6,14503,78,4818
2020-11-03,11500000,19998,425,264,12,14681,178,5053
2020-11-04,11500000,20300,302,268,4,15163,482,4869
2020-11-05,11500000,20671,371,270,2,15718,555,4683
2020-11-06,11500000,21026,355,276,6,15952,234,4798
2020-11-07,11500000,21403,377,282,6,16247,295,4874
2020-11-08,11500000,21770,367,283,1,16295,48,5192
2020-11-09,11500000,22140,370,284,1,16299,4,5557
2020-11-10,11500000,22622,482,287,3,16757,458,5578
2020-11-11,11500000,23035,413,293,6,17267,510,5475
2020-11-12,11500000,23585,550,301,8,17623,356,5661
2020-11-13,11500000,24045,460,307,6,17958,335,5780
2020-11-14,11500000,24579,534,315,8,18193,235,6071
2020-11-15,11500000,24969,390,319,4,18276,83,6374
2020-11-16,11500000,25210,241,323,4,18300,24,6587
2020-11-17,11500000,25596,386,327,4,18768,468,6501
2020-11-18,11500000,25904,308,329,2,19336,568,6239
2020-11-19,11500000,26442,538,334,5,19626,290,6482
2020-11-20,11500000,27054,612,341,7,20067,441,6646
2020-11-21,11500000,27539,485,348,7,20472,405,6719
2020-11-22,11500000,27912,373,353,5,20518,46,7041
2020-11-23,11500000,28194,282,356,3,20572,54,7266
2020-11-24,11500000,28461,267,360,4,21215,643,6886
2020-11-25,11500000,28860,399,362,2,21589,374,6909
2020-11-26,11500000,29320,460,369,7,22008,419,6943
2020-11-27,11500000,29875,555,374,5,22576,568,6925
2020-11-28,11500000,30430,555,378,4,23073,497,6979
2020-11-29,11500000,30807,377,380,2,23133,60,7294
2020-11-30,11500000,30956,149,381,1,23151,18,7424
2020-12-01,11492000,31283,327,390,9,24015,864,6878
2020-12-02,11492000,31798,515,394,4,24572,557,6832
2020-12-03,11492000,32223,425,397,3,25315,743,6511
2020-12-04,11492000,32702,479,404,7,25885,570,6413
2020-12-05,11492000,33192,490,410,6,26441,556,6341
2020-12-06,11492000,33508,316,413,3,26526,85,6569
2020-12-07,11492000,33714,206,416,3,26534,8,6764
2020-12-08,11492000,34088,374,424,8,27361,827,6303
2020-12-09,11492000,34578,490,429,5,28111,750,6038
2020-12-10,11492000,35034,456,439,10,28855,744,5740
2020-12-11,11492000,35452,418,441,2,29375,520,5636
2020-12-12,11492000,35900,448,445,4,29880,505,5575
2020-12-13,11492000,36117,217,446,1,29891,11,5780
2020-12-14,11492000,36262,145,448,2,29984,93,5830
2020-12-15,11492000,36599,337,454,6,30779,795,5366
2020-12-16,11492000,36974,375,460,6,31190,411,5324
2020-12-17,11492000,37417,443,466,6,31643,453,5308
2020-12-18,11492000,37840,423,469,3,32185,542,5186
2020-12-19,11492000,38315,475,474,5,32961,776,4880
2020-12-20,11492000,38536,221,474,,33000,39,5062
2020-12-21,11492000,38656,120,475,1,33053,53,5128
2020-12-22,11492000,38920,264,484,9,33569,516,4867
2020-12-23,11492000,39251,331,484,,34106,537,4661
2020-12-24,11492000,39634,383,487,3,34667,561,4480
2020-12-25,11492000,39979,345,492,5,35174,507,4313
2020-12-26,11492000,40195,216,494,2,35200,26,4501
2020-12-27,11492000,40295,100,496,2,35276,76,4523
2020-12-28,11492000,40332,37,499,3,35465,189,4368
2020-12-29,11492000,40459,127,510,11,36076,611,3873
2020-12-30,11492000,40672,213,515,5,36581,505,3576
2020-12-31,11492000,40990,318,516,1,36712,131,3762
2021-01-02,11485000,41503,228,519,2,37107,78,3877
2021-01-03,11485000,41578,75,521,2,37181,74,3876
2021-01-04,11485000,41632,54,522,1,37223,42,3887
2021-01-05,11485000,41769,137,525,3,37722,499,3522
2021-01-06,11485000,42012,243,527,2,38105,383,3380
2021-01-07,11485000,42338,326,528,1,38387,282,3423
2021-01-08,11485000,42484,146,529,1,38418,31,3537
2021-01-09,11485000,42564,80,529,,38436,18,3599
2021-01-10,11485000,42723,159,532,3,38556,120,3635
2021-01-11,11485000,42811,88,533,1,38804,248,3474
2021-01-12,11485000,42943,132,538,5,39423,619,2982
2021-01-13,11485000,43178,235,540,2,39795,372,2843
2021-01-14,11485000,43458,280,540,,40175,380,2743
2021-01-15,11485000,43700,242,541,1,40419,244,2740
2021-01-16,11485000,43943,243,541,,40636,217,2766
2021-01-17,11485000,44088,145,541,,40777,141,2770
2021-01-18,11485000,44149,61,542,1,40790,13,2817
2021-01-19,11485000,44207,58,546,4,41085,295,2576
2021-01-20,11485000,44318,111,547,1,41254,169,2517
2021-01-21,11485000,44569,251,548,1,41408,154,2613
2021-01-22,11485000,44729,160,551,3,41553,145,2625
2021-01-23,11485000,44936,207,554,3,41657,104,2725
2021-01-24,11485000,45032,96,556,2,41814,157,2662
2021-01-25,11485000,45081,49,559,3,41988,174,2534
2021-01-26,11485000,45162,81,559,,42124,136,2479
2021-01-27,11485000,45326,164,564,5,42318,194,2444
2021-01-28,11485000,45498,172,565,1,42513,195,2420
2021-01-29,11485000,45707,209,566,1,42651,138,2490
2021-01-30,11485000,45823,116,569,3,42838,187,2416
2021-01-31,11485000,45901,78,570,1,42915,77,2416
2021-02-01,11479000,45928,27,574,4,43022,107,2332
2021-02-02,11479000,45982,54,579,5,43315,293,2088
2021-02-03,11479000,46083,101,580,1,43510,195,1993
2021-02-04,11479000,46256,173,582,2,43791,281,1883
2021-02-05,11479000,46419,163,582,,43880,89,1957
2021-02-06,11479000,46530,111,583,1,44040,160,1907
2021-02-07,11479000,46603,73,584,1,44092,52,1927
2021-02-08,11479000,46648,45,585,1,44130,38,1933
2021-02-09,11479000,46734,86,590,5,44260,130,1884
2021-02-10,11479000,46837,103,590,,44541,281,1706
2021-02-11,11479000,46976,139,591,1,44769,228,1616
2021-02-12,11479000,47106,130,591,,44954,185,1561
2021-02-13,11479000,47220,114,593,2,45122,168,1505
2021-02-14,11479000,47253,33,595,2,45184,62,1474
2021-02-15,11479000,47268,15,596,1,45222,38,1450
2021-02-16,11479000,47356,88,597,1,45412,190,1347
2021-02-17,11479000,47495,139,598,1,45498,86,1399
2021-02-18,11479000,47662,167,603,5,45621,123,1438
2021-02-19,11479000,47796,134,605,2,45734,113,1457
2021-02-20,11479000,47938,142,607,2,45801,67,1530
2021-02-21,11479000,48029,91,608,1,45835,34,1586
2021-02-22,11479000,48065,36,608,,45835,,1622
2021-02-23,11479000,48172,107,613,5,45977,142,1582
2021-02-24,11479000,48317,145,614,1,46120,143,1583
2021-02-25,11479000,48504,187,617,3,46228,108,1659
2021-02-26,11479000,48637,133,618,1,46402,174,1617
2021-02-27,11479000,48779,142,619,1,46551,149,1609
2021-02-28,11479000,48899,120,619,,46604,53,1676
2021-03-01,11476000,48957,58,622,3,46620,16,1715
2021-03-02,11476000,49065,108,626,4,46716,96,1723
2021-03-03,11476000,49282,217,628,2,46857,141,1797
2021-03-04,11476000,49484,202,631,3,47051,194,1802
2021-03-05,11476000,49682,198,633,2,47150,99,1899
2021-03-06,11476000,49880,198,637,4,47250,100,1993
2021-03-07,11476000,49969,89,637,,47311,61,2021
2021-03-08,11476000,50031,62,638,1,47336,25,2057
2021-03-09,11476000,50084,53,639,1,47382,46,2063
2021-03-10,11476000,50257,173,643,4,47664,282,1950
2021-03-11,11476000,50524,267,645,2,47827,163,2052
2021-03-12,11476000,50793,269,648,3,47981,154,2164
2021-03-13,11476000,51173,380,650,2,48163,182,2360
2021-03-14,11476000,51328,155,651,1,48168,5,2509
2021-03-15,11476000,51439,111,652,1,48250,82,2537
2021-03-16,11476000,51674,235,657,5,48517,267,2500
2021-03-17,11476000,52107,433,659,2,48688,171,2760
2021-03-18,11476000,52497,390,667,8,48952,264,2878
2021-03-19,11476000,52940,443,676,9,49098,146,3166
2021-03-20,11476000,53372,432,684,8,49233,135,3455
2021-03-21,11476000,53589,217,687,3,49362,129,3540
2021-03-22,11476000,53714,125,691,4,49402,40,3621
2021-03-23,11476000,54090,376,704,13,49653,251,3733
2021-03-24,11476000,54630,540,711,7,49840,187,4079
2021-03-25,11476000,55256,626,716,5,50058,218,4482
2021-03-26,11476000,55810,554,719,3,50199,141,4892
2021-03-27,11476000,56363,553,724,5,50382,183,5257
2021-03-28,11476000,56659,296,725,1,50480,98,5454
2021-03-29,11476000,56798,139,728,3,50574,94,5496
2021-03-30,11476000,57133,335,737,9,50693,119,5703
2021-03-31,11476000,57724,591,747,10,50901,208,6076
2021-04-01,11471000,58389,665,753,6,51026,125,6610
2021-04-02,11471000,59024,635,761,8,51392,366,6871
2021-04-03,11471000,59714,690,771,10,51742,350,7201
2021-04-04,11471000,60044,330,777,6,51776,34,7491
2021-04-05,11471000,60296,252,786,9,51861,85,7649
2021-04-06,11471000,60799,503,798,12,52313,452,7688
2021-04-07,11471000,61465,666,808,10,52642,329,8015
2021-04-08,11471000,62198,733,815,7,53034,392,8349
2021-04-09,11471000,62755,557,828,13,53607,573,8320
2021-04-10,11471000,63290,535,835,7,53982,375,8473
2021-04-11,11471000,63567,277,848,13,53998,16,8721
2021-04-12,11471000,63741,174,857,9,54164,166,8720
2021-04-13,11471000,64163,422,873,16,54824,660,8466
2021-04-14,11471000,64779,616,883,10,55167,343,8729
2021-04-15,11471000,65284,505,889,6,55553,386,8842
2021-04-16,11471000,65838,554,901,12,55986,433,8951
2021-04-17,11471000,66356,518,911,10,56182,196,9263
2021-04-18,11471000,66656,300,922,11,56362,180,9372
2021-04-19,11471000,66806,150,928,6,56428,66,9450
2021-04-20,11471000,67222,416,940,12,56862,434,9420
2021-04-21,11471000,67838,616,949,9,57381,519,9508
2021-04-22,11471000,68401,563,959,10,58028,647,9414
2021-04-23,11471000,68939,538,967,8,58607,579,9365
2021-04-24,11471000,69457,518,973,6,59153,546,9331
2021-04-25,11471000,69712,255,977,4,59227,74,9508
2021-04-26,11471000,69856,144,979,2,59283,56,9594
2021-04-27,11471000,70308,452,996,17,59812,529,9500
2021-04-28,11471000,70725,417,1001,5,60648,836,9076
2021-04-29,11471000,71111,386,1007,6,61552,904,8552
2021-04-30,11471000,71514,403,1013,6,62352,800,8149
2021-05-01,11464000,71805,291,1025,12,63008,656,7772
2021-05-02,11464000,71988,183,1034,9,63206,198,7748
2021-05-03,11464000,72050,62,1043,9,63225,19,7782
2021-05-04,11464000,72108,58,1051,8,63364,139,7693
2021-05-05,11464000,72176,68,1056,5,63549,185,7571
2021-05-06,11464000,72579,403,1062,6,64486,937,7031
2021-05-07,11464000,73017,438,1069,7,65388,902,6560
2021-05-08,11464000,73492,475,1076,7,66225,837,6191
2021-05-09,11464000,73634,142,1082,6,66357,132,6195
2021-05-10,11464000,73701,67,1087,5,66473,116,6141
2021-05-11,11464000,73777,76,1089,2,66691,218,5997
2021-05-12,11464000,74248,471,1100,11,68328,1637,4820
2021-05-13,11464000,74707,459,1105,5,69040,712,4562
2021-05-14,11464000,75064,357,1113,8,69955,915,3996
2021-05-15,11464000,75417,353,1119,6,70436,481,3862
2021-05-16,11464000,75532,115,1127,8,70583,147,3822
2021-05-17,11464000,75714,182,1135,8,70788,205,3791
